Time,Local Time,CO2_1,CO2_2
1720720206.7166388,Thu Jul 11 19:50:06 2024,"7081
","9120
"
1720720265.9836476,Thu Jul 11 19:51:05 2024,"7188
","None
"
1720720325.6129618,Thu Jul 11 19:52:05 2024,"7225
","9110
"
1720720386.0927763,Thu Jul 11 19:53:06 2024,"7258
","None
"
1720720445.9992902,Thu Jul 11 19:54:05 2024,"7287
","9083
"
1720720505.2168872,Thu Jul 11 19:55:05 2024,"7261
","None
"
1720720565.884209,Thu Jul 11 19:56:05 2024,"7380
","9402
"
1720720626.3163862,Thu Jul 11 19:57:06 2024,"7407
","None
"
1720720686.266037,Thu Jul 11 19:58:06 2024,"7410
","9439
"
1720720745.936814,Thu Jul 11 19:59:05 2024,"7483
","None
"
1720720806.649799,Thu Jul 11 20:00:06 2024,"7546
","9528
"
1720720866.0466886,Thu Jul 11 20:01:06 2024,"7529
","None
"
1720720926.0396497,Thu Jul 11 20:02:06 2024,"7718
","9738
"
1720720985.6616092,Thu Jul 11 20:03:05 2024,"7678
","None
"
1720721046.4233317,Thu Jul 11 20:04:06 2024,"7649
","9868
"
1720721105.7692928,Thu Jul 11 20:05:05 2024,"7717
","None
"
1720721166.320235,Thu Jul 11 20:06:06 2024,"7745
","None
"
1720721226.0062582,Thu Jul 11 20:07:06 2024,"7728
","10001
"
1720721285.4415154,Thu Jul 11 20:08:05 2024,"7836
","None
"
1720721346.3926716,Thu Jul 11 20:09:06 2024,"7901
","10001
"
1720721406.0467682,Thu Jul 11 20:10:06 2024,"8012
","None
"
1720721465.78349,Thu Jul 11 20:11:05 2024,"8005
","10001
"
1720721526.1515055,Thu Jul 11 20:12:06 2024,"7980
","None
"
1720721586.1661456,Thu Jul 11 20:13:06 2024,"7998
","10001
"
1720721645.759906,Thu Jul 11 20:14:05 2024,"8168
","None
"
1720721706.550547,Thu Jul 11 20:15:06 2024,"8182
","10001
"
1720721765.8691878,Thu Jul 11 20:16:05 2024,"8160
","None
"
1720721826.4359884,Thu Jul 11 20:17:06 2024,"8138
","10001
"
1720721885.979245,Thu Jul 11 20:18:05 2024,"8203
","None
"
1720721945.822399,Thu Jul 11 20:19:05 2024,"8273
","10001
"
1720722006.0886207,Thu Jul 11 20:20:06 2024,"8318
","None
"
1720722065.7086148,Thu Jul 11 20:21:05 2024,"8275
","10001
"
1720722126.201503,Thu Jul 11 20:22:06 2024,"8408
","None
"
1720722186.0942347,Thu Jul 11 20:23:06 2024,"8438
","10001
"
1720722245.8015184,Thu Jul 11 20:24:05 2024,"8453
","None
"
1720722306.475871,Thu Jul 11 20:25:06 2024,"8531
","10001
"
1720722365.9158776,Thu Jul 11 20:26:05 2024,"8471
","None
"
1720722426.8557036,Thu Jul 11 20:27:06 2024,"8524
","10001
"
1720722486.5212202,Thu Jul 11 20:28:06 2024,"8572
","None
"
1720722546.2566874,Thu Jul 11 20:29:06 2024,"8554
","10001
"
1720722605.6393142,Thu Jul 11 20:30:05 2024,"8599
","None
"
1720722666.635325,Thu Jul 11 20:31:06 2024,"8644
","10001
"
1720722726.2488034,Thu Jul 11 20:32:06 2024,"8692
","None
"
1720722786.0225744,Thu Jul 11 20:33:06 2024,"8803
","10001
"
1720722845.3623447,Thu Jul 11 20:34:05 2024,"8787
","None
"
1720722905.9166434,Thu Jul 11 20:35:05 2024,"8771
","None
"
1720722966.5938432,Thu Jul 11 20:36:06 2024,"8926
","10001
"
1720723025.5223122,Thu Jul 11 20:37:05 2024,"8822
","None
"
1720723086.477407,Thu Jul 11 20:38:06 2024,"8910
","10001
"
1720723146.1345146,Thu Jul 11 20:39:06 2024,"8969
","None
"
1720723205.8672397,Thu Jul 11 20:40:05 2024,"9007
","10001
"
1720723266.230773,Thu Jul 11 20:41:06 2024,"9179
","None
"
1720723326.2440073,Thu Jul 11 20:42:06 2024,"9004
","10001
"
1720723385.846205,Thu Jul 11 20:43:05 2024,"9285
","None
"
1720723446.6241794,Thu Jul 11 20:44:06 2024,"9222
","10001
"
1720723505.936934,Thu Jul 11 20:45:05 2024,"9304
","None
"
1720723566.5053535,Thu Jul 11 20:46:06 2024,"9323
","10001
"
1720723626.039589,Thu Jul 11 20:47:06 2024,"9246
","None
"
1720723685.8894367,Thu Jul 11 20:48:05 2024,"9413
","10001
"
1720723746.140441,Thu Jul 11 20:49:06 2024,"9381
","None
"
1720723805.7713342,Thu Jul 11 20:50:05 2024,"9443
","10001
"
1720723866.241621,Thu Jul 11 20:51:06 2024,"9362
","None
"
1720723926.1551006,Thu Jul 11 20:52:06 2024,"9637
","10001
"
