Time,Local Time,CO2_1,CO2_2
1723482545.428071,Mon Aug 12 19:09:05 2024,"439
","None
"
1723482606.1731663,Mon Aug 12 19:10:06 2024,"436
","3631
"
1723482665.4607346,Mon Aug 12 19:11:05 2024,"444
","None
"
1723482725.803248,Mon Aug 12 19:12:05 2024,"436
","3702
"
1723482785.4999611,Mon Aug 12 19:13:05 2024,"446
","None
"
1723482845.9292119,Mon Aug 12 19:14:05 2024,"448
","3807
"
1723482906.528671,Mon Aug 12 19:15:06 2024,"453
","None
"
1723482966.055572,Mon Aug 12 19:16:06 2024,"448
","3963
"
1723483025.5565455,Mon Aug 12 19:17:05 2024,"456
","None
"
1723483086.177301,Mon Aug 12 19:18:06 2024,"454
","3999
"
1723483145.587957,Mon Aug 12 19:19:05 2024,"455
","None
"
1723483206.2997992,Mon Aug 12 19:20:06 2024,"462
","4142
"
1723483265.6113358,Mon Aug 12 19:21:05 2024,"459
","None
"
1723483325.927994,Mon Aug 12 19:22:05 2024,"456
","4188
"
1723483385.6388464,Mon Aug 12 19:23:05 2024,"463
","None
"
1723483446.0529938,Mon Aug 12 19:24:06 2024,"466
","4348
"
1723483506.1707065,Mon Aug 12 19:25:06 2024,"463
","None
"
1723483565.6859295,Mon Aug 12 19:26:05 2024,"465
","4375
"
1723483626.1917925,Mon Aug 12 19:27:06 2024,"469
","None
"
1723483685.8152926,Mon Aug 12 19:28:05 2024,"472
","4528
"
1723483746.2230163,Mon Aug 12 19:29:06 2024,"473
","None
"
1723483805.9380546,Mon Aug 12 19:30:05 2024,"475
","4660
"
1723483866.2533975,Mon Aug 12 19:31:06 2024,"471
","None
"
1723483925.5681083,Mon Aug 12 19:32:05 2024,"477
","4699
"
1723483986.2913992,Mon Aug 12 19:33:06 2024,"479
","None
"
1723484045.6887312,Mon Aug 12 19:34:05 2024,"476
","4822
"
1723484105.3236382,Mon Aug 12 19:35:05 2024,"476
","None
"
1723484165.8092043,Mon Aug 12 19:36:05 2024,"483
","4902
"
1723484225.8371794,Mon Aug 12 19:37:05 2024,"479
","None
"
1723484286.431893,Mon Aug 12 19:38:06 2024,"485
","4929
"
1723484345.8616612,Mon Aug 12 19:39:05 2024,"483
","None
"
1723484406.553305,Mon Aug 12 19:40:06 2024,"366
","5121
"
1723484465.8928125,Mon Aug 12 19:41:05 2024,"486
","None
"
1723484526.177801,Mon Aug 12 19:42:06 2024,"495
","5226
"
1723484585.9225457,Mon Aug 12 19:43:05 2024,"496
","None
"
1723484646.3003652,Mon Aug 12 19:44:06 2024,"374
","5284
"
1723484705.9375439,Mon Aug 12 19:45:05 2024,"496
","None
"
1723484766.4261744,Mon Aug 12 19:46:06 2024,"507
","5387
"
1723484825.9990098,Mon Aug 12 19:47:05 2024,"505
","5473
"
1723484885.2436888,Mon Aug 12 19:48:05 2024,"376
","None
"
1723484946.126055,Mon Aug 12 19:49:06 2024,"504
","5481
"
1723485005.7474499,Mon Aug 12 19:50:05 2024,"509
","None
"
1723485066.2480614,Mon Aug 12 19:51:06 2024,"506
","5642
"
1723485125.7631853,Mon Aug 12 19:52:05 2024,"510
","None
"
1723485186.866824,Mon Aug 12 19:53:06 2024,"506
","5675
"
1723485246.2935393,Mon Aug 12 19:54:06 2024,"517
","None
"
1723485306.4924831,Mon Aug 12 19:55:06 2024,"516
","5882
"
1723485366.308482,Mon Aug 12 19:56:06 2024,"520
","None
"
1723485425.6213863,Mon Aug 12 19:57:05 2024,"517
","5933
"
1723485486.3474696,Mon Aug 12 19:58:06 2024,"522
","None
"
1723485545.7405736,Mon Aug 12 19:59:05 2024,"525
","5995
"
1723485606.3629827,Mon Aug 12 20:00:06 2024,"523
","None
"
1723485665.8605793,Mon Aug 12 20:01:05 2024,"529
","6065
"
1723485726.3910751,Mon Aug 12 20:02:06 2024,"528
","None
"
1723485785.9908822,Mon Aug 12 20:03:05 2024,"531
","6218
"
1723485845.4086013,Mon Aug 12 20:04:05 2024,"534
","None
"
1723485906.6065302,Mon Aug 12 20:05:06 2024,"528
","6259
"
1723485965.9213612,Mon Aug 12 20:06:05 2024,"535
","None
"
1723486025.730292,Mon Aug 12 20:07:05 2024,"537
","6407
"
1723486086.4500704,Mon Aug 12 20:08:06 2024,"532
","None
"
1723486145.8505113,Mon Aug 12 20:09:05 2024,"534
","6434
"
1723486206.473581,Mon Aug 12 20:10:06 2024,"539
","None
"
1723486265.965136,Mon Aug 12 20:11:05 2024,"536
","6466
"
1723486325.50943,Mon Aug 12 20:12:05 2024,"541
","None
"
1723486386.5763843,Mon Aug 12 20:13:06 2024,"547
","6748
"
1723486446.0251765,Mon Aug 12 20:14:06 2024,"544
","None
"
1723486505.700556,Mon Aug 12 20:15:05 2024,"549
","6784
"
1723486566.0478156,Mon Aug 12 20:16:06 2024,"554
","None
"
1723486626.313357,Mon Aug 12 20:17:06 2024,"548
","6995
"
1723486685.5833795,Mon Aug 12 20:18:05 2024,"451
","None
"
1723486746.426614,Mon Aug 12 20:19:06 2024,"560
","6982
"
1723486806.0778284,Mon Aug 12 20:20:06 2024,"553
","None
"
1723486865.548382,Mon Aug 12 20:21:05 2024,"559
","7111
"
1723486926.105681,Mon Aug 12 20:22:06 2024,"560
","None
"
1723486985.660097,Mon Aug 12 20:23:05 2024,"557
","7111
"
1723487046.120723,Mon Aug 12 20:24:06 2024,"567
","None
"
1723487105.772813,Mon Aug 12 20:25:05 2024,"569
","7162
"
1723487166.1451104,Mon Aug 12 20:26:06 2024,"561
","None
"
1723487225.3992722,Mon Aug 12 20:27:05 2024,"572
","7344
"
1723487285.9364786,Mon Aug 12 20:28:05 2024,"565
","7481
"
1723487345.4105546,Mon Aug 12 20:29:05 2024,"572
","None
"
1723487406.049694,Mon Aug 12 20:30:06 2024,"570
","7488
"
1723487465.4417803,Mon Aug 12 20:31:05 2024,"575
","None
"
1723487526.1669207,Mon Aug 12 20:32:06 2024,"429
","7545
"
1723487585.4578636,Mon Aug 12 20:33:05 2024,"577
","None
"
1723487645.7894363,Mon Aug 12 20:34:05 2024,"459
","7704
"
1723487706.8407443,Mon Aug 12 20:35:06 2024,"576
","7780
"
1723487766.2211459,Mon Aug 12 20:36:06 2024,"581
","None
"
1723487826.4714942,Mon Aug 12 20:37:06 2024,"582
","7807
"
1723487885.7379,Mon Aug 12 20:38:05 2024,"586
","None
"
1723487945.58922,Mon Aug 12 20:39:05 2024,"585
","7834
"
1723488006.2504802,Mon Aug 12 20:40:06 2024,"589
","None
"
1723488065.707722,Mon Aug 12 20:41:05 2024,"590
","8081
"
1723488126.2625778,Mon Aug 12 20:42:06 2024,"587
","None
"
1723488186.0251212,Mon Aug 12 20:43:06 2024,"598
","None
"
1723488245.3843353,Mon Aug 12 20:44:05 2024,"598
","8262
"
1723488306.0288014,Mon Aug 12 20:45:06 2024,"599
","None
"
1723488365.4991088,Mon Aug 12 20:46:05 2024,"596
","8417
"
1723488426.0490894,Mon Aug 12 20:47:06 2024,"602
","None
"
1723488485.3072455,Mon Aug 12 20:48:05 2024,"609
","None
"
1723488546.1655805,Mon Aug 12 20:49:06 2024,"606
","8489
"
1723488605.8243268,Mon Aug 12 20:50:05 2024,"609
","None
"
1723488666.2779117,Mon Aug 12 20:51:06 2024,"606
","8631
"
1723488725.8278165,Mon Aug 12 20:52:05 2024,"612
","None
"
1723488786.3891246,Mon Aug 12 20:53:06 2024,"621
","8587
"
1723488845.8562016,Mon Aug 12 20:54:05 2024,"626
","None
"
1723488906.496534,Mon Aug 12 20:55:06 2024,"628
","8910
"
1723488965.8714259,Mon Aug 12 20:56:05 2024,"627
","None
"
1723489025.6216578,Mon Aug 12 20:57:05 2024,"619
","8976
"
1723489085.885834,Mon Aug 12 20:58:05 2024,"626
","None
"
1723489145.7240741,Mon Aug 12 20:59:05 2024,"625
","9027
"
1723489206.3796794,Mon Aug 12 21:00:06 2024,"628
","None
"
1723489265.8393493,Mon Aug 12 21:01:05 2024,"625
","9275
"
1723489326.4073765,Mon Aug 12 21:02:06 2024,"633
","None
"
1723489386.4526215,Mon Aug 12 21:03:06 2024,"626
","9530
"
1723489445.9364414,Mon Aug 12 21:04:05 2024,"640
","None
"
1723489506.0712066,Mon Aug 12 21:05:06 2024,"634
","9458
"
1723489565.4357524,Mon Aug 12 21:06:05 2024,"633
","None
"
1723489626.1862955,Mon Aug 12 21:07:06 2024,"636
","9795
"
1723489685.4599106,Mon Aug 12 21:08:05 2024,"484
","None
"
1723489746.2990398,Mon Aug 12 21:09:06 2024,"643
","9769
"
1723489805.9547715,Mon Aug 12 21:10:05 2024,"648
","None
"
1723489866.4100952,Mon Aug 12 21:11:06 2024,"644
","10001
"
1723489925.968714,Mon Aug 12 21:12:05 2024,"640
","None
"
1723489985.7275095,Mon Aug 12 21:13:05 2024,"652
","None
"
1723490046.0852094,Mon Aug 12 21:14:06 2024,"527
","9999
"
1723490105.7411482,Mon Aug 12 21:15:05 2024,"662
","None
"
1723490166.1979501,Mon Aug 12 21:16:06 2024,"523
","10001
"
1723490225.7561,Mon Aug 12 21:17:05 2024,"651
","10001
"
1723490286.0167253,Mon Aug 12 21:18:06 2024,"512
","None
"
1723490345.8644607,Mon Aug 12 21:19:05 2024,"670
","10001
"
1723490406.515082,Mon Aug 12 21:20:06 2024,"665
","None
"
1723490465.9738166,Mon Aug 12 21:21:05 2024,"669
","10001
"
1723490525.523319,Mon Aug 12 21:22:05 2024,"660
","None
"
1723490585.7804961,Mon Aug 12 21:23:05 2024,"673
","None
"
1723490646.136185,Mon Aug 12 21:24:06 2024,"669
","10001
"
1723490705.8034203,Mon Aug 12 21:25:05 2024,"669
","None
"
1723490766.2430618,Mon Aug 12 21:26:06 2024,"681
","10001
"
1723490825.8267262,Mon Aug 12 21:27:05 2024,"685
","None
"
1723490886.3511214,Mon Aug 12 21:28:06 2024,"673
","10001
"
1723490945.8205135,Mon Aug 12 21:29:05 2024,"675
","None
"
1723491006.4607751,Mon Aug 12 21:30:06 2024,"678
","10001
"
1723491065.829902,Mon Aug 12 21:31:05 2024,"699
","None
"
1723491126.5694788,Mon Aug 12 21:32:06 2024,"692
","10001
"
1723491185.8455663,Mon Aug 12 21:33:05 2024,"714
","None
"
1723491246.1796668,Mon Aug 12 21:34:06 2024,"695
","10001
"
1723491305.8565333,Mon Aug 12 21:35:05 2024,"693
","None
"
1723491366.2861454,Mon Aug 12 21:36:06 2024,"694
","10001
"
1723491425.8622243,Mon Aug 12 21:37:05 2024,"708
","None
"
1723491486.3935964,Mon Aug 12 21:38:06 2024,"698
","10001
"
1723491545.8688092,Mon Aug 12 21:39:05 2024,"694
","None
"
1723491606.5060709,Mon Aug 12 21:40:06 2024,"565
","10001
"
1723491665.8709598,Mon Aug 12 21:41:05 2024,"706
","None
"
1723491726.606502,Mon Aug 12 21:42:06 2024,"716
","10001
"
1723491785.8752415,Mon Aug 12 21:43:05 2024,"712
","None
"
1723491846.2163765,Mon Aug 12 21:44:06 2024,"724
","10001
"
1723491905.890741,Mon Aug 12 21:45:05 2024,"718
","None
"
1723491966.3223639,Mon Aug 12 21:46:06 2024,"720
","10001
"
1723492025.9055638,Mon Aug 12 21:47:05 2024,"720
","None
"
1723492086.4284444,Mon Aug 12 21:48:06 2024,"572
","10001
"
1723492145.9090705,Mon Aug 12 21:49:05 2024,"718
","None
"
1723492206.5342257,Mon Aug 12 21:50:06 2024,"719
","10001
"
1723492265.9248934,Mon Aug 12 21:51:05 2024,"725
","None
"
1723492326.6381505,Mon Aug 12 21:52:06 2024,"582
","10001
"
1723492385.9320705,Mon Aug 12 21:53:05 2024,"721
","None
"
1723492446.2451499,Mon Aug 12 21:54:06 2024,"729
","10001
"
1723492505.934054,Mon Aug 12 21:55:05 2024,"734
","None
"
1723492566.354866,Mon Aug 12 21:56:06 2024,"726
","10001
"
1723492625.9444053,Mon Aug 12 21:57:05 2024,"739
","None
"
1723492686.4554431,Mon Aug 12 21:58:06 2024,"739
","10001
"
1723492745.9513607,Mon Aug 12 21:59:05 2024,"735
","None
"
1723492806.5577528,Mon Aug 12 22:00:06 2024,"746
","10001
"
1723492865.95547,Mon Aug 12 22:01:05 2024,"748
","None
"
1723492926.658442,Mon Aug 12 22:02:06 2024,"737
","10001
"
1723492985.9581702,Mon Aug 12 22:03:05 2024,"736
","None
"
1723493046.2638893,Mon Aug 12 22:04:06 2024,"748
","10001
"
1723493105.9627018,Mon Aug 12 22:05:05 2024,"759
","None
"
1723493166.3661852,Mon Aug 12 22:06:06 2024,"561
","10001
"
1723493225.9679549,Mon Aug 12 22:07:05 2024,"751
","None
"
1723493285.4711568,Mon Aug 12 22:08:05 2024,"754
","10001
"
1723493345.979159,Mon Aug 12 22:09:05 2024,"759
","None
"
1723493405.5733628,Mon Aug 12 22:10:05 2024,"753
","10001
"
1723493465.9892108,Mon Aug 12 22:11:05 2024,"763
","None
"
1723493525.6727095,Mon Aug 12 22:12:05 2024,"567
","10001
"
1723493585.9947226,Mon Aug 12 22:13:05 2024,"770
","None
"
1723493645.277166,Mon Aug 12 22:14:05 2024,"753
","10001
"
1723493705.9907613,Mon Aug 12 22:15:05 2024,"759
","None
"
1723493765.3752565,Mon Aug 12 22:16:05 2024,"767
","10001
"
1723493825.9925773,Mon Aug 12 22:17:05 2024,"768
","None
"
1723493885.4731605,Mon Aug 12 22:18:05 2024,"764
","10001
"
1723493946.0086846,Mon Aug 12 22:19:06 2024,"772
","None
"
1723494005.5690722,Mon Aug 12 22:20:05 2024,"774
","10001
"
1723494066.0124414,Mon Aug 12 22:21:06 2024,"776
","None
"
1723494125.664504,Mon Aug 12 22:22:05 2024,"780
","10001
"
1723494186.0074248,Mon Aug 12 22:23:06 2024,"764
","None
"
1723494245.263549,Mon Aug 12 22:24:05 2024,"780
","10001
"
1723494306.0011256,Mon Aug 12 22:25:06 2024,"782
","None
"
1723494365.3607893,Mon Aug 12 22:26:05 2024,"783
","10001
"
1723494426.006972,Mon Aug 12 22:27:06 2024,"776
","None
"
1723494485.4597983,Mon Aug 12 22:28:05 2024,"786
","10001
"
1723494546.0089467,Mon Aug 12 22:29:06 2024,"789
","None
"
1723494605.5564046,Mon Aug 12 22:30:05 2024,"775
","10001
"
1723494666.0157206,Mon Aug 12 22:31:06 2024,"790
","None
"
1723494725.6539443,Mon Aug 12 22:32:05 2024,"632
","10001
"
1723494786.014927,Mon Aug 12 22:33:06 2024,"797
","None
"
1723494845.258823,Mon Aug 12 22:34:05 2024,"791
","None
"
1723494906.008788,Mon Aug 12 22:35:06 2024,"799
","None
"
1723494965.3550744,Mon Aug 12 22:36:05 2024,"639
","10001
"
1723495026.0053334,Mon Aug 12 22:37:06 2024,"796
","None
"
1723495085.4571023,Mon Aug 12 22:38:05 2024,"803
","10001
"
1723495146.0058715,Mon Aug 12 22:39:06 2024,"795
","None
"
1723495205.2677944,Mon Aug 12 22:40:05 2024,"798
","None
"
1723495266.1018453,Mon Aug 12 22:41:06 2024,"808
","10001
"
1723495325.7578154,Mon Aug 12 22:42:05 2024,"798
","None
"
1723495386.201129,Mon Aug 12 22:43:06 2024,"809
","10001
"
1723495445.7574077,Mon Aug 12 22:44:05 2024,"804
","None
"
1723495506.0095816,Mon Aug 12 22:45:06 2024,"812
","None
"
1723495565.357876,Mon Aug 12 22:46:05 2024,"810
","10001
"
1723495626.0021303,Mon Aug 12 22:47:06 2024,"818
","None
"
1723495685.4551206,Mon Aug 12 22:48:05 2024,"806
","10001
"
1723495746.001428,Mon Aug 12 22:49:06 2024,"824
","None
"
1723495805.2631438,Mon Aug 12 22:50:05 2024,"813
","None
"
1723495866.092367,Mon Aug 12 22:51:06 2024,"806
","10001
"
1723495925.7553434,Mon Aug 12 22:52:05 2024,"822
","None
"
1723495986.1826465,Mon Aug 12 22:53:06 2024,"825
","10001
"
1723496045.7570174,Mon Aug 12 22:54:05 2024,"821
","None
"
